2014-03-04,662.179993,1026802.0341174359,272021
2014-05-16,453.630005,651741.4252154755,193788
2014-11-21,357.299988,1319260.3127938958,237094
2010-11-10,0.21,68695.56000000006,508
2011-07-02,15.4,874963.5931892666,33491
2011-08-22,10.9,281690.91140248923,24959
2011-09-06,6.86,3155558.0407474833,17884
2012-01-06,6.95,612913.5521010209,15147
2013-03-08,42,1209131.4149786856,129132
2013-05-02,106.25,907309.0850270833,157671
2011-09-02,8.64,261134.69142115163,15739
2014-06-06,650.409973,1049433.7224838682,194912
2012-08-28,10.94,6796522.212633853,69389
2010-08-31,0.06,49352.97999650002,553
2011-03-21,0.7411,158865.79717934894,8231
2012-04-06,4.95,591961.5428116615,15828
2010-10-10,0.0965,127348.13000000015,478
2013-12-03,1096.560059,1190034.162242893,200251
2013-09-19,135.050003,833883.7812330244,139143
2013-02-13,25.17,1221054.8355691237,134620
2010-12-30,0.3,73050.61238552025,916
2011-08-28,9.07,189234.79514337002,17795
2011-11-10,2.95,361640.37551447045,14941
2010-09-08,0.062,25897.809996599957,435
2010-11-02,0.1955,71326.09000000003,343
2011-09-14,5.62,302619.0245444195,14563
2011-11-05,3.11,291981.0489827331,12887
2012-07-21,8.85,2380759.9394470532,77123
2014-06-03,669.429993,906999.065891679,213202
2014-07-13,628.030029,482605.8066233787,226973
2014-08-21,517.940002,769920.7782536017,225979
2013-04-01,104,1449066.3509716168,149296
2013-08-07,105.989998,813434.5173145774,133558
2010-09-04,0.06238,39076.35999999999,326
2010-12-05,0.205,33376.789999999986,561
2011-03-15,0.8949,127120.49663035941,4522
2011-11-20,2.2,1540434.7025205232,11830
2012-02-17,4.27,980044.4430390764,15005
2013-04-23,143.479996,1580194.3889653843,169007
2013-12-22,640.47998,920403.1394986963,146823
2014-02-27,593.140015,578796.5016019285,221110
2014-03-30,477.109985,601591.0737825343,209870
2014-03-30,446.920013,601591.0737825343,209870
2014-05-21,488.839996,724297.9235768775,205246
2011-12-20,3.52,532264.0864632697,13949
2010-12-17,0.25,71388.90118798021,644
2014-03-09,609.210022,947172.4039733277,207368
2014-10-29,351.059998,799636.4879915589,257006
2012-02-19,4.22,396081.7026653528,15405
2013-10-19,183.149994,1007342.9320242918,139711
2014-04-19,506.019989,460095.5666804499,161652
2014-05-26,582.01001,760758.6263280611,199531
2010-07-22,0.0505,48431.620000000046,524
2011-08-02,12.05,405232.6471536968,21647
2011-10-12,4.15,321810.7430451884,13466
2011-11-03,3.25,355587.8558649989,12571
2013-08-08,103.050003,725445.1482030039,131024
2014-01-13,939.789978,529745.6571677114,179728
2014-07-17,626.580017,468015.24890148966,204415
2013-07-27,94.400002,461605.52506852447,87186
2012-03-04,4.61,685564.1119685895,17653
2013-11-08,309.649994,1071531.006728973,149257
2012-01-20,6.36,364501.097233476,15611
2010-08-06,0.0623,25932.00999999996,497
2012-05-02,5.07,1083940.5646185372,23224
2010-11-25,0.283,59652.19000000245,5201
2011-09-08,6.53,394870.548381771,15496
2010-12-18,0.24,91230.61674275024,759
2011-02-23,0.8702,371700.0178537658,3942
2013-05-11,115.639999,675124.7525445367,196327
2011-10-31,3.27,389442.4230162591,11620
2013-06-22,108.199997,435026.7321188101,107143
2013-08-11,105,429554.22934167256,89501
2011-02-10,1.09,226594.8123716989,3610
2011-04-05,0.71,129618.8349847601,4472
2011-07-09,14.38,2083212.7505271193,23297
2012-04-24,5.1,749693.4413140155,18844
2013-04-25,141.710007,1637341.3688475948,175841
2013-10-08,136.490005,720282.9121194727,117466
2014-06-04,638.929993,1034394.4935154585,199372
2014-09-08,475.690002,502091.93304958113,220567
2014-09-26,404.459991,564149.0044239898,216112
2014-10-13,387.320007,777900.5169416034,243395
2010-08-15,0.06529,27266.57999999999,344
2010-08-29,0.064,16704.58999999999,312
2011-02-28,0.89,132383.50785377074,3025
2011-03-18,0.8254,176714.04423441985,3781
2011-03-25,0.8669,293846.99056669866,4379
2011-07-27,13.94,1276712.789058922,24031
2011-10-04,4.96,419368.9962691837,12827
2011-12-05,2.83,2968213.926969241,14548
2012-12-23,13.37,869430.5680696822,86707
2013-04-12,117,1774103.0002263822,159407
2013-11-02,213.429993,649240.364890047,103851
2014-06-23,591.169983,623384.0952180767,193983
2014-07-23,621.690002,414650.4000251452,199524
2012-01-22,6.18,276740.44018380356,12817
2011-05-08,3.87,540879.7364653351,6274
2010-10-12,0.0949,85823.95000000008,481
2013-02-23,30.25,1283683.5868594355,133221
2010-09-12,0.0615,27417.380000299963,488
2012-07-16,8.5,2110624.7693254985,71150
2010-08-28,0.0641,25129.519991499983,433
2011-10-23,3.17,570977.9626498079,12380
2011-12-19,3.19,485365.33824397053,13691
2013-08-27,131.289993,910293.5517242328,142057
2014-03-22,549.599976,420925.04319925635,193262
2014-08-06,589.77002,465456.20366910513,248227
2012-08-29,10.92,14702323.791162627,74111
2012-10-18,11.94,3397926.9933370496,76660
2012-12-08,13.5,1008269.9179095427,76697
2013-03-21,64.489998,2041885.3231017487,138961
2013-04-21,119.199997,983216.8253800814,130316
2013-06-13,103.949997,607556.9546027094,108891
2014-06-08,651.049988,772391.1623081431,198457
2013-07-01,88.050003,868945.4266259453,94321
2014-10-14,397.100006,892500.910761602,228745
2011-08-16,10.96,368317.9419093645,22301
2014-05-28,570.840027,869282.3391829553,213511
2010-08-20,0.0655,39228.40999999999,538
2013-07-30,107.959999,1007108.9470715789,99741
2013-11-14,434.850006,1155028.5940023728,176971
2014-01-25,916.549988,463780.2736708715,150854
2012-03-03,4.7,386748.7410767788,13287
